handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_490dc49a-04ec-316e-2b29-80955cc5b01d,Product,Strawnana,"<p>This sweet berry strain is a hybrid crossing Banana Kush and Bubble Gum’s strawberry phenotype. Indica dominant, Strawnana delivers an uplifting, peaceful euphoria.</p><p><strong>FRAGRANCE:</strong>&nbsp;Strawberry, sweet, berry</p><p><strong>EFFECT:</strong>&nbsp;Soothed, happy, euphoric, hungry</p><ul>	<li>Limonene</li>	<li>Beta Caryophyllene</li>	<li>Myrcene</li>	<li>Alpha Pinene</li>	<li>Beta Pinene</li>	<li>Ocimene</li>	<li>Humulene</li>	<li>Fenchol</li>	<li>Terpineol</li>	<li>Terpinolene</li>	<li>Geranyl Acetate</li>	<li>Phytol</li>	<li>Camphene</li>	<li>12 MORE TERPENES</li></ul>",5cb354_840d55caa792498cae7df05c1f1a5b0e~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_490dc49a-04ec-316e-2b29-80955cc5b01d,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_490dc49a-04ec-316e-2b29-80955cc5b01d,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_aeef7158-ac02-45e8-e6a3-5e1b92d990e8,Product,Gelato,"<p>This hybrid strain is named for its dessert-like aroma. A blend of Sunset Sherbet and Thin Mint Girl Scout Cookies, Gelato is a potent deliverer of restfulness and euphoria. Sweet, pungent, flowery scents bring creativity. Also known as “Larry Bird.”</p><p><strong>FRAGRANCE:</strong>&nbsp;Sweet, pungent, berry like, creamy</p><p><strong>EFFECT:</strong>&nbsp;Soothing, euphoric, happy, giggly</p><ul>	<li>Beta Caryophyllene</li>	<li>Limonene</li>	<li>Myrcene</li>	<li>Linalool</li>	<li>Humulene</li>	<li>Alpha Pinene</li>	<li>Beta Pinene</li>	<li>Fenchol</li>	<li>Terpineol</li>	<li>Nerolidol</li>	<li>Geranyl Acetate</li>	<li>Ocimene</li>	<li>Phytol</li>	<li>Alpha Bisabolol</li>	<li>11 MORE TERPENES</li></ul>",5cb354_128189c79f8d4b59a3362b94e675f347~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_aeef7158-ac02-45e8-e6a3-5e1b92d990e8,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_aeef7158-ac02-45e8-e6a3-5e1b92d990e8,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9f3cefca-eea2-47a1-e141-3a7d94c9382a,Product,OG Kush,"<p><strong>OG Kush</strong>, a hybrid strain with a distinctive earthy, pine, woody aroma, is well-known for soothing, euphoric effects. This strain has spawned several varieties – Tahoe OG, SFV OG, and Alpha OG, to name a few.</p><p><strong>FRAGRANCE:</strong>&nbsp;Earth, pine, wood</p><p><strong>EFFECT:</strong>&nbsp;Attention, motivation, drive, and improves focus</p><ul>	<li>Limonene</li>	<li>Myrcene</li>	<li>Beta Caryophyllene</li>	<li>Linalool</li>	<li>Beta Pinene</li>	<li>Humulene</li>	<li>Fenchol</li>	<li>Alpha Pinene</li>	<li>Terpineol</li>	<li>Phytol</li>	<li>Alpha Bisabolol</li>	<li>Camphene</li>	<li>Borneol</li>	<li>Pulegone</li>	<li>8 MORE TERPENES</li></ul>",5cb354_5fea49ab30864c63a49ff1a4d1034f03~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_9f3cefca-eea2-47a1-e141-3a7d94c9382a,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9f3cefca-eea2-47a1-e141-3a7d94c9382a,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_643e6b6a-6153-3920-ed82-bd72423935bf,Product,Lemon Skunk,"<p>As the name suggests, Lemon Skunk has an aroma of citrus lemon and skunk derived from especially zesty Skunk phenotypes. Almost instantly uplifting and energizing, yet soothing.</p><p><strong>FRAGRANCE:</strong>&nbsp;Citrus, skunk, sweet, sour</p><p><strong>EFFECT:</strong>&nbsp;Energizing, sociable, uplifting</p><ul>	<li>Limonene</li>	<li>Beta Caryophyllene</li>	<li>Myrcene</li>	<li>20 MORE TERPENES</li></ul>",5cb354_9be62ccbcbfd4b2bb999cc7a8f9a6408~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_643e6b6a-6153-3920-ed82-bd72423935bf,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_643e6b6a-6153-3920-ed82-bd72423935bf,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_be0875dc-d565-7e73-605f-18928d6ba256,Product,Pineapple Express,"<p>Pineapple Express is a sativa strain crossing Trainwreck and Hawaiian. It is potent, flavorful, and long-lasting. The sweet, tropical, cedar flavored strain has uplifting, euphoric, energy-boosting effects.</p><p><strong>FRAGRANCE:</strong>&nbsp;Sweet, tropical, cedar, citrus</p><p><strong>EFFECT:</strong>&nbsp;Uplifting, euphoric, energetic accompanied by a soothing sensation</p><ul>	<li>Beta Caryophyllene</li>	<li>Myrcene</li>	<li>Limonene</li>	<li>Humulene</li>	<li>Linalool</li>	<li>Beta Pinene</li>	<li>Alpha Pinene</li>	<li>2 MORE TERPENES</li></ul>",5cb354_1a46e3b58597435a8ec234519ea2da73~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_be0875dc-d565-7e73-605f-18928d6ba256,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_be0875dc-d565-7e73-605f-18928d6ba256,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_836cb704-f5fe-1bac-a8c8-4132fb6c3efa,Product,Banana Kush,"<p>his sweet, tropical indica-dominant blend gives a soothed, uplifted, creative focus. Banana Kush crosses Skunk Haze and Ghost OG.The fresh banana taste will help increase happiness, better restfulness, creativity, talkativeness, and attention.</p><p><strong>FRAGRANCE:</strong>&nbsp;Sweet, fruity, pungent, tropical</p><p><strong>EFFECT:</strong>&nbsp;Soothed, care-free, uplifted, energetic</p><ul>	<li>Limonene</li>	<li>Beta Caryophyllene</li>	<li>Myrcene</li>	<li>Alpha Pinene</li>	<li>Beta Pinene</li>	<li>Fenchol</li>	<li>Terpineol</li>	<li>Ocimene</li>	<li>Humulene</li>	<li>Alpha Bisabolol</li>	<li>Linalool</li>	<li>Nerolidol</li>	<li>Camphene</li>	<li>Borneol</li>	<li>Phytol</li>	<li>7 MORE TERPENES</li></ul>",5cb354_fd0f5ef32ff046bba245a37891e47e58~mv2.jpg,test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_836cb704-f5fe-1bac-a8c8-4132fb6c3efa,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_836cb704-f5fe-1bac-a8c8-4132fb6c3efa,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fd912b43-fbaa-e080-c203-dafa9939124c,Product,Clementine,"<p>Clementine is a hybrid combining Lemon Skunk and Tangie strains. It’s sweet orange citrus flavor has happy, energizing, focused sativa effects.</p><p><strong>FRAGRANCE:</strong>&nbsp;Citrus, orange, sweet, terpenic, fresh</p><p><strong>EFFECT:</strong>&nbsp;Energizing, uplifting, happy</p><p>&nbsp;</p><ul>	<li>Terpinolene</li>	<li>Ocimene</li>	<li>Beta Caryophyllene</li>	<li>Myrcene</li>	<li>Limonene</li>	<li>Beta Pinene</li>	<li>Humulene</li>	<li>Alpha Pinene</li>	<li>Alpha Phellandrene</li>	<li>Alpha Bisabolol</li>	<li>Linalool</li>	<li>Terpineol</li>	<li>Delta 3 Carene</li>	<li>Phytol</li>	<li>Alpha Terpinene</li>	<li>Nerolidol</li>	<li>15 MORE TERPENES</li></ul>",5cb354_212813a4398d462b901fa4374431dff5~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_fd912b43-fbaa-e080-c203-dafa9939124c,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fd912b43-fbaa-e080-c203-dafa9939124c,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d342819-2dee-2596-0ae4-0bf597a87b3c,Product,GG#4 Profile,"<p><strong>GG#4</strong>&nbsp;is an award-winning hybrid strain. It is potent and indica dominant. Pungent, earthy, pine aromas accompany heavy, happy soothing effects. This strain is the offspring of Chem’s Sister, Sour Dubb, and Chocolate Diesel, and it will have you feeling “glued” to the couch.</p><p><strong>FRAGRANCE:</strong>&nbsp;Earth, pine, fuel</p><p><strong>EFFECT:</strong>&nbsp;Euphoric, soothing, heavy and extreme couch-lock</p><ul>	<li>Beta Caryophyllene</li>	<li>Limonene</li>	<li>Myrcene</li>	<li>Humulene</li>	<li>Alpha Bisabolol</li>	<li>Linalool</li>	<li>Beta Pinene</li>	<li>Nerolidol</li>	<li>Fenchol</li>	<li>Terpineol</li>	<li>Alpha Pinene</li>	<li>Phytol</li>	<li>Pulegone</li>	<li>11 MORE TERPENES</li></ul>",5cb354_b49a29e6aeef4cd4a06e0b6ef77471c0~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_3d342819-2dee-2596-0ae4-0bf597a87b3c,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d342819-2dee-2596-0ae4-0bf597a87b3c,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1d09bd21-2110-6265-2e9e-dee739298af1,Product,Zkittles,"<p>Zkittlez is an award-winning indica-dominant blend. The tropical fruity flavor delivers&nbsp;peacefulness, happiness, and&nbsp;restfulness. This blend improves focus and&nbsp;rest.</p><p><strong>FRAGRANCE:</strong>&nbsp;Sweet, berry, herbal, tropical</p><p><strong>EFFECT:</strong>&nbsp;Uplifting, focused, happy, soothing</p><ul>	<li>Beta Caryophyllene</li>	<li>Humulene</li>	<li>Linalool</li>	<li>Limonene</li>	<li>Alpha Bisabolol</li>	<li>Nerolidol</li>	<li>Beta Pinene</li>	<li>Citronellol</li>	<li>Fenchol</li>	<li>Terpineol</li>	<li>Caryophyllene Oxide</li>	<li>Phytol</li>	<li>Geraniol</li>	<li>Alpha Pinene</li>	<li>Myrcene</li>	<li>7 MORE TERPENES</li></ul>",5cb354_f286053217854f3aaba14331bbf413bf~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_1d09bd21-2110-6265-2e9e-dee739298af1,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1d09bd21-2110-6265-2e9e-dee739298af1,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_93614f69-cf38-c37b-88e0-3fdfc49eba9c,Product,Durban Poison,"<p>Durban Poison is a pure sativa known for its energy-giving, uplifting, creative effects. It has a sweet smell and a sweet, earthy, pine flavor.FRAGRANCE: Sweet, sour, earth, pine, citrusEFFECT: Productive, creative, energy, focusing strain – stay productive through a busy day</p><p>&nbsp; &nbsp; Terpinolene</p><ul>	<li>Humulene</li>	<li>Beta Caryophyllene</li>	<li>Linalool</li>	<li>Myrcene</li>	<li>Limonene</li>	<li>Alpha Pinene</li>	<li>Beta Pinene</li>	<li>Caryophyllene Oxide</li></ul><p>Durban Poison is a pure sativa known for its energy-giving, uplifting, creative effects. It has a sweet smell and a sweet, earthy, pine flavor.</p><p><strong>FRAGRANCE:&nbsp;</strong>Sweet, sour, earth, pine, citrus</p><p><strong>EFFECT:&nbsp;</strong>Productive, creative, energy, focusing strain – stay productive through a busy day</p>",5cb354_da11bb6136554ab4a617ecf418aa369c~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_93614f69-cf38-c37b-88e0-3fdfc49eba9c,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_93614f69-cf38-c37b-88e0-3fdfc49eba9c,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1723a50f-cf7a-ff89-630d-dbfda296f5a7,Product,Black Raspberry Moisturizing Body & Hair Oil,"<p>This Natural Body &amp; Hair Oil glides on light and silky. &nbsp;Great for all skin types &amp; is quickly absorbed. The scent smells of vine ripened Raspberries, a small amount of vanilla, with a hint of a spicy element. It is an uplifting floral, but also warmth in this scent, that stays with you throughout the day.&nbsp;&nbsp;Because it is crafted with natural oils it doesn't leave you feeling greasy. Your skin will be moisturized, supple, soft &amp; healthy.</p><p>Argan Oil:&nbsp;Restorative &amp; helps to protect skin from the elements. Helps to reduce fine lines &amp; scars. Rich in Omega Fatty Acids.&nbsp;Jojoba Oil:&nbsp;A superior moisturizer that does not clog pores. It helps to plump skin due to its moisturizing effects. Plus, helps to reduce acne.&nbsp;Vitamin E:&nbsp;An Antioxidant that is greatly moisturizing &amp; helps reduce scars.&nbsp;&nbsp;Olive Oil:&nbsp;Moisturizing &amp; has vitamins A, D, E, &amp; K. Anti-Aging properties due to Antioxidants.&nbsp;For best results: Gently rub into wet hair and skin after shower or bath.&nbsp;</p><p>&nbsp;</p>",5cb354_2b826fef3a5f4c2ea00643008c03dca6~mv2.jpg,Mrs. Bs,,,16,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Ingredients,"<p>Ingredients: Jojoba Oil, Argan Oil, Organic Olive Oil, Vitamin E, Fragrance Oil</p>
",,,,,,,,,,,,,,,,
